Rating,Participant,Group,Cue
10,39,intra,A
10,39,intra,B
0,39,intra,C
0,39,intra,D
18.5,39,intra,AB
10,41,intra,A
10,41,intra,B
0,41,intra,C
0,41,intra,D
10,41,intra,AB
10.5,42,intra,A
10,42,intra,B
0,42,intra,C
0,42,intra,D
20,42,intra,AB
10,45,intra,A
10,45,intra,B
0,45,intra,C
0,45,intra,D
20,45,intra,AB
10,47,intra,A
10,47,intra,B
0,47,intra,C
0,47,intra,D
20,47,intra,AB
10,49,intra,A
10,49,intra,B
0,49,intra,C
0,49,intra,D
20,49,intra,AB
10,51,intra,A
10,51,intra,B
0,51,intra,C
0,51,intra,D
10,51,intra,AB
10,53,intra,A
14,53,intra,B
0,53,intra,C
0,53,intra,D
19,53,intra,AB
10,55,intra,A
10,55,intra,B
0,55,intra,C
0,55,intra,D
20,55,intra,AB
10,57,intra,A
10,57,intra,B
0,57,intra,C
0,57,intra,D
20,57,intra,AB
10,59,intra,A
10,59,intra,B
0,59,intra,C
0,59,intra,D
20,59,intra,AB
10,69,intra,A
10,69,intra,B
0,69,intra,C
0,69,intra,D
10,69,intra,AB
10,61,intra,A
10,61,intra,B
0,61,intra,C
0,61,intra,D
10,61,intra,AB
12,63,intra,A
10,63,intra,B
0,63,intra,C
0,63,intra,D
20,63,intra,AB
12,65,intra,A
10,65,intra,B
0,65,intra,C
0,65,intra,D
20,65,intra,AB
10,67,intra,A
10,67,intra,B
0,67,intra,C
0,67,intra,D
20,67,intra,AB
10,69,intra,A
10,69,intra,B
0,69,intra,C
0,69,intra,D
15,69,intra,AB
10,71,extra,A
10,71,extra,B
0,71,extra,C
0,71,extra,D
15,71,extra,AB
5,72,extra,A
5,72,extra,B
10,72,extra,C
10,72,extra,D
2.5,72,extra,AB
10,74,extra,A
10,74,extra,B
0,74,extra,C
0,74,extra,D
15,74,extra,AB
5,75,extra,A
10,75,extra,B
0,75,extra,C
0,75,extra,D
10,75,extra,AB
10,76,extra,A
10,76,extra,B
10,76,extra,C
0,76,extra,D
20,76,extra,AB
10,77,extra,A
5,77,extra,B
5,77,extra,C
0,77,extra,D
15,77,extra,AB
10,78,extra,A
10,78,extra,B
0,78,extra,C
5,78,extra,D
20,78,extra,AB
10,79,extra,A
10,79,extra,B
0,79,extra,C
0,79,extra,D
20,79,extra,AB
10,80,extra,A
10,80,extra,B
10,80,extra,C
0,80,extra,D
20,80,extra,AB
10,81,extra,A
5,81,extra,B
0,81,extra,C
0,81,extra,D
20,81,extra,AB
10,82,extra,A
10,82,extra,B
0,82,extra,C
0,82,extra,D
20,82,extra,AB
10,83,extra,A
10,83,extra,B
0,83,extra,C
0,83,extra,D
20,83,extra,AB
10,84,extra,A
10,84,extra,B
0,84,extra,C
0,84,extra,D
20,84,extra,AB
10,85,extra,A
0,85,extra,B
0,85,extra,C
0,85,extra,D
5,85,extra,AB
10,86,extra,A
10,86,extra,B
0,86,extra,C
0,86,extra,D
12.5,86,extra,AB
5,87,extra,A
10,87,extra,B
0,87,extra,C
0,87,extra,D
20,87,extra,AB
10,88,extra,A
10,88,extra,B
0,88,extra,C
0,88,extra,D
20,88,extra,AB
10,89,extra,A
10,89,extra,B
0,89,extra,C
0,89,extra,D
17.5,89,extra,AB
10,90,extra,A
10,90,extra,B
0,90,extra,C
0,90,extra,D
10,90,extra,AB
10,91,extra,A
10,91,extra,B
0,91,extra,C
0,91,extra,D
20,91,extra,AB
10,92,extra,A
10,92,extra,B
0,92,extra,C
0,92,extra,D
20,92,extra,AB
10,93,extra,A
10,93,extra,B
0,93,extra,C
0,93,extra,D
20,93,extra,AB
10,94,extra,A
10,94,extra,B
0,94,extra,C
0,94,extra,D
20,94,extra,AB
10,95,extra,A
10,95,extra,B
0,95,extra,C
0,95,extra,D
20,95,extra,AB
10,96,extra,A
10,96,extra,B
0,96,extra,C
0,96,extra,D
10,96,extra,AB
10,97,extra,A
10,97,extra,B
0,97,extra,C
0,97,extra,D
10.5,97,extra,AB
10,98,extra,A
10,98,extra,B
0,98,extra,C
0,98,extra,D
20,98,extra,AB
10,99,extra,A
10,99,extra,B
0,99,extra,C
0,99,extra,D
20,99,extra,AB
10,101,extra,A
10,101,extra,B
0,101,extra,C
0,101,extra,D
20,101,extra,AB
10,102,extra,A
0,102,extra,B
0,102,extra,C
0,102,extra,D
10,102,extra,AB
10,103,extra,A
10,103,extra,B
0,103,extra,C
0,103,extra,D
10,103,extra,AB
32.5,105,intra,A
30.5,105,intra,B
4,105,intra,C
18,105,intra,D
33,105,intra,AB
10,107,intra,A
10,107,intra,B
0,107,intra,C
0,107,intra,D
20,107,intra,AB
10,109,intra,A
10,109,intra,B
0,109,intra,C
0,109,intra,D
15,109,intra,AB
10,110,extra,A
5,110,extra,B
5,110,extra,C
0,110,extra,D
10,110,extra,AB
