Rating,Participant,Group,Cue
10,111,intra,A
10,111,intra,B
0,111,intra,C
0,111,intra,D
20,111,intra,AB
10.5,112,extra,A
0,112,extra,B
10,112,extra,C
0,112,extra,D
10.5,112,extra,AB
10,113,intra,A
10,113,intra,B
0,113,intra,C
0,113,intra,D
10,113,intra,AB
10,114,extra,A
0,114,extra,B
0,114,extra,C
0,114,extra,D
5,114,extra,AB
10,115,intra,A
10,115,intra,B
0,115,intra,C
0,115,intra,D
20,115,intra,AB
0.5,116,extra,A
10,116,extra,B
9,116,extra,C
6,116,extra,D
13.5,116,extra,AB
10,117,intra,A
10,117,intra,B
0,117,intra,C
0,117,intra,D
20,117,intra,AB
10,118,extra,A
15,118,extra,B
0,118,extra,C
0,118,extra,D
15,118,extra,AB
10,119,intra,A
10,119,intra,B
0,119,intra,C
0,119,intra,D
20,119,intra,AB
10,120,extra,A
0,120,extra,B
0,120,extra,C
0,120,extra,D
2.5,120,extra,AB
10,121,intra,A
10,121,intra,B
0,121,intra,C
0,121,intra,D
20,121,intra,AB
5,122,extra,A
5,122,extra,B
0,122,extra,C
5,122,extra,D
5,122,extra,AB
10,123,intra,A
10,123,intra,B
0,123,intra,C
0,123,intra,D
20,123,intra,AB
10,124,extra,A
10,124,extra,B
0,124,extra,C
0,124,extra,D
20,124,extra,AB
10,125,intra,A
10,125,intra,B
0,125,intra,C
0,125,intra,D
15,125,intra,AB
11.5,126,extra,A
11.5,126,extra,B
6.5,126,extra,C
13.5,126,extra,D
16,126,extra,AB
10,127,intra,A
10,127,intra,B
0,127,intra,C
0,127,intra,D
5,127,intra,AB
5,128,extra,A
5,128,extra,B
0,128,extra,C
0,128,extra,D
5,128,extra,AB
10,129,intra,A
10,129,intra,B
0,129,intra,C
0,129,intra,D
15,129,intra,AB
10,130,extra,A
10,130,extra,B
0,130,extra,C
5,130,extra,D
20,130,extra,AB
10,131,intra,A
10,131,intra,B
0,131,intra,C
0,131,intra,D
20,131,intra,AB
